C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\PRE\1B\SL003\SL003_1B6BE.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,Condition,DataFile.Basename,Day,ExperimentVersion,Group,Hits.Mean,Hits.StdDevP,Instructions,NB,NonTargetAcc.Mean,NonTargetAcc.StdDevP,OnebackLureCounter,OverallACC,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Timing,Total_Ommision_Error,TotalComissionErrors,TwobackLureCounter,Welcome.DEVICE,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,BlockTrialList,BlockTrialList.Cycle,BlockTrialList.Sample,BreakMessage,BreakMessage.DEVICE,GetReady.DEVICE,Practice,Procedure[Trial],Running[Trial],SubTrial,CorrectResp,CurrentLetters,HitsComissionErrors,HitsOmissions,IncorrectResp,Letter,NonTargetComissionErrors,NonTargetOmissions,Procedure[SubTrial],Running[SubTrial],Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType,Type
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,1,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,28,65068,514,1,409,65477,1,2,1,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,2,1,,0,0,4,X,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,68103,513,1,359,68462,2,2,2,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,3,1,,0,0,4,C,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,71137,514,1,715,71852,3,2,3,NonTarget,112
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,4,1,,0,0,4,B,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,74172,514,1,414,74586,4,2,4,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,5,4,,0,0,1,B,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,77206,514,4,411,77617,5,2,5,Target,440
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,6,1,,0,0,4,K,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,80241,514,1,405,80646,6,2,6,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,7,4,,0,0,1,K,0,0,TrialProc,TrialList,1,4,Keyboard,0,19,83276,513,4,480,83756,7,2,7,Target,440
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,8,1,,0,0,4,c,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,86310,514,1,386,86696,8,2,8,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,9,1,,0,0,4,T,0,0,TrialProc,TrialList,1,1,Keyboard,0,19,89345,514,1,408,89753,9,2,9,NonTarget,110
NB_update,3,1,E,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">13611651495199</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-22T14:02:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",1,SL003_1B6BE,6,1.0.0.787,1,83.33,0.372677996,Press SPACEBAR to begin.,1,100,0,0,94.87,143.958,902800985,Full,3.0.3.80,3.0.3.80,8/22/21,8/22/21 14:02,9:02:02,3.0.3.82,B,0,2,1,Keyboard,1,1,2,1,BlockProc,BlockList,1,1,1,1,Thank you!,Keyboard,Keyboard,No,BlockTrialProc,BlockTrialList,10,4,,0,0,1,T,0,0,TrialProc,TrialList,1,4,Keyboard,0,18,92379,514,4,446,92825,10,2,10,Target,440
